text,anotacion,id
"Prueba rápida de COVID de antígeno con 25 pruebas, marca Roche  WhatsApp 55 4436 8695 Correo diagnosticosvirtus@gmail.com  #cdmx #pruebarapidacovid #pruebacovidantigeno #diagnosticosvirtus https://t.co/pj0KVkhSTx",0,1354827231013588995
"La Reina de los Charros de Jalisco Mariana Sánchez posa con los Charros para una foto en el Día Internacional del Charro en Guadalajara en el estado de Jalisco, México, en medio de la pandemia del coronavirus COVID-19. @afpphoto @AFPmexico #Mexico #Jalisco #Guadalajara #Charro https://t.co/AmGpNPZhyt",-1,1309886611593859073
"#Puebla: Usuarios de redes sociales reportan que solo se les arroja un código de barras en el registro de vacunación de adultos mayores.   Al respecto, la @SaludGobPue informó que la delegación de Bienestar ""está trabajando para solucionar el problema"". https://t.co/6JgNXeF1JR",-1,1375632916278083586
@_MauricioArroyo Yo estoy yendo a guardias en el HU y ni sé si algún día me van a vacunar. Así las cosas en el país,-1,1358967542321209347
"La doctora que atendió a mi familia y a mi durante el Covid tuvo un pre infarto ayer.  Me tiene triste la noticia. Pensar que así como ella muchos de nuestros médicos están pasando por tanto estrés, presión y riesgo me deshace.  😢",-1,1337512518525177857
"No bajemos la guardia y sigamos las recomendaciones sanitarias.  #TeamGIREO #SanoRetorno #CoVid19 #JuntosSomosMásFuertes en Guadalajara, Jalisco https://t.co/WOtevIN4h3",1,1298335704884424705
"Ya son 13 casos de Covid-19 confirmados en el Estado de Guanajuato, 10 en León @soyjaimeramirez https://t.co/dQDrF0tcBk",-1,1242606202149838848
Se mantiene #Sonora con ocho casos confirmados de #Covid19   Distanciamiento Social #QuédateEnCasa mejor medida para mitigar la transmisión. @ssaludsonora  https://t.co/KcjDuhaWVu https://t.co/on0aPpFMTI,0,1243709734483451904
🧐 La FDA aprueba la vacuna de Pfizer para distribución de emergencia en EE.UU.  https://t.co/YqWoXXPh4M,1,1337783424757583872
"Ojo, siguen las medidas para prevenir la propagación del #COVID19 en #León https://t.co/fSN1UM34om",0,1241005140078923776
"Tengo contacto y conozco personalmente a varios doctores en Monclova, me comentan que la situación del covid viene ahora y más fuerte y posiblemente la contingencia como en abril vuelva 😰 no entendemos",-1,1278361209452945410
