author_id;text;retweet_count;reply_count;like_count;quote_count;id;created_at
3240405067;Para cuándo la segunda vacuna? Ya vamos para los 21 días @saludjalisco;0;0;0;0;1377138210711592964;2021-03-31T05:58:30.000Z
1372058765059633152;@Masha734 @latinus_us @vampipe Como se ha hecho en todas las campañas de vacunación;0;0;0;0;1377137753909960709;2021-03-31T05:56:41.000Z
715008511353053184;La COFETUR entregó este día 1000 kits de cuidado a la salud a CANIRAC, los cuales se repartirán a turistas y ciudadanos de varios destinos durante esta Semana Santa, con el objetivo de reforzar el mensaje que en este período vacacional debemos seguir protegiéndonos del COVID. https://t.co/LfXvwnLY5k;3;0;5;0;1377135692380131343;2021-03-31T05:48:29.000Z
1014329012;Al 30 de marzo de 2021 hay 1,769,256 personas recuperadas de #COVID19 y 202,633 defunciones confirmadas. https://t.co/vAUkJxHQT3;0;0;0;0;1377134494084304897;2021-03-31T05:43:43.000Z
190320292;🆘 30 Marzo 2021  🚥Plan nacional de vacunación🚥#IMPORTANTE #Alerta #COVID19 #CoronavirusMéxico 🔴2,228,650 CONTAGIOS 🔴   202,633 MUERTES  807🔻contagios y 203🔺muertes en las últimas 24 hrs.;4;2;27;0;1377133271654391823;2021-03-31T05:38:52.000Z
105051021;Te vacunarías contra #COVID19?;0;0;0;0;1377129525645963268;2021-03-31T05:23:59.000Z
166658068;El gobierno tiene la culpa de tantas muertes por #COVID? Seguros? https://t.co/4Jh2YOL25G;0;0;0;0;1377128193165914114;2021-03-31T05:18:41.000Z
137531399;No COVID week  Lejos de todo https://t.co/bHa2EHZhvJ;6;20;539;0;1377126870987075584;2021-03-31T05:13:26.000Z
716545735;@MackyPinzon @TheChrisBlueRed Gudiño no tenía covid, estuvo en la banca en ese juego.;0;1;1;0;1377126405717123075;2021-03-31T05:11:35.000Z
3593231;Retomando la vacunación, se me informa que la logistica y organización en La del valle es impecable, que gusto da ver que si hay cosas que se hacen bien.;0;1;17;0;1377125861321699334;2021-03-31T05:09:25.000Z
2700872377;Proteccion para tu tarjeta de vacunacion gratis! en México, D.F https://t.co/m0ewe4BW1B;0;0;0;0;1377125523638214660;2021-03-31T05:08:05.000Z
68109189;En #Puebla casi 30 mil vacunados ya en Ciudad Universitaria, hoy terminó la vacunación antes de tiempo gracias a los voluntarios que no recibirán pago. Todavía hubo casos de gente que tenía cita a otra hora y de manera prepotente quería que se le atendiera fuera de su hora,;1;1;2;0;1377125338006781952;2021-03-31T05:07:20.000Z
106473561;Reporte del covid19 en Santa Cruz Huatulco, Oaxaca, Mexico https://t.co/PfQnb37z6G;0;0;0;0;1377124806936592387;2021-03-31T05:05:14.000Z
216592048;“Acciones más drásticas”? Ja, ja, jaaaa! 😂🤣😂🤣😂🤣 en Mexico les vale una puta verga!!  Promueven que se vayan de vacaciones y la vacunación y muertos les valen madre. En Mexico estamos a la deriva. Dios nos ayude. https://t.co/v0BCugTtss;0;0;0;0;1377124769015889922;2021-03-31T05:05:05.000Z
300504997;Hoy @RiveraVivanco_ pidió licencia, @MorenaEnPuebla presento a sus candidatos para ayuntamientos, el #COVIDー19 podría tener origen animal, denuncian en #EUA a @roxanasanjuan1 por alentar críticas a periodistas en #Mexico y @MBarbosaMX pide confianza ante vacunación en #Puebla https://t.co/MsDUKFQpJL;0;0;0;0;1377124171491069956;2021-03-31T05:02:42.000Z
300624301;Yo digo sin ofender !!!! Si todos los países alrededor del mundo andan valiendo m.... por el covid que les hace creer que estamos mejor si somos bien #valemadristas  ... #justsaying https://t.co/b1N048P5Nt;0;0;1;0;1377122584945291264;2021-03-31T04:56:24.000Z
629042580;Historias de vacunación...14. https://t.co/NgwsGlTvP6;31;0;81;0;1377121802464288771;2021-03-31T04:53:18.000Z
1277312521247100933;"Que mal  ""Informe de OMS-China señala como ""muy probable"" que la COVID-19 tenga origen animal; director de OMS solicita mayor investigación""  https://t.co/7uMD6mkbVK";0;0;0;0;1377120342133547018;2021-03-31T04:47:29.000Z
1277312521247100933;"Que bueno   ""COVID-19: Llegaron a México millón y medio de vacunas desde EE.UU."" #Coronavirus https://t.co/4nv5MWK5DZ";0;0;0;0;1377120048372846593;2021-03-31T04:46:19.000Z
1045066988127752193;@vidallerenas, alcalde de @AzcapotzalcoMx, confirmó que la Ciclovía Camarones será permanente.  Esta fue implementanda durante la pandemia del covid-19, y la usan mil 150 capitalinos en las horas pico.  https://t.co/2zttJUN22Y;0;0;0;0;1377119307038031875;2021-03-31T04:43:23.000Z
97144007;@BienestarmxS @JorgeTaddeiB Pueden pasar la página o link para ver qué centro de vacunación nos corresponde?;0;0;0;0;1377119110631329798;2021-03-31T04:42:36.000Z
406727065;Que miedo me doy cuando me domina el sueño antes de las 8 p.m y sí me duermo, ese evento sucede cada 3 años. Nos vemos próxima siesta en el 2024 ✌🏻 Mi hermana: No tienes covid? No estás embarazada?;0;0;2;0;1377118495977041927;2021-03-31T04:40:09.000Z
